filename,duration,flag,transcription
sama_nbl_06h02feb2022_0001.wav,7.1,N,balima indima eqakathekileko ekusizeni ukuthunjwa kwelawulo lombuso ekampanini elawulwa mbusi weenkhali yakwa [Denel] 
sama_nbl_06h02feb2022_0002.wav,7.2,N,lokhu kutjho bona kuyokubalwa abantu boke nalabo abanganamakhaya nalabo kungenzeka bona basemawotela
sama_nbl_06h02feb2022_0003.wav,10,S,ezibhulumbethe hlangana nesikuphathele zona namhlanje ngizo ezithinta umthetho we  [aarto] kunejima lokufundisa ngawo lomthetho
sama_nbl_06h02feb2022_0005.wav,6,N,ngesikhathesi sokubunjwa kwamakomidi ngemva kwamakhetho waborhulumende bemakhaya wanyakenye
sama_nbl_06h02feb2022_0006.wav,5.3,N,ezilama lezi ngeze awara lekhomba njenganje sibuyela KuBongi
sama_nbl_06h02feb2022_0007.wav,6.9,S,ehloko kusile siyathokoza voroso singena kelethu eliphambili elinaba ngeendaba ihlelo
sama_nbl_06h02feb2022_0009.wav,22,NS,[with no access to part water] umnyango wezefundo esifundeni saKwazulu Natal uthome iphenyo ngemva kokugula kwabafundi beeMvozane [primary school] kwaMaphumulo  etlhagwini ye  [Durban] ngemva kokudla ama   [lollipop] Kuzwakala bona abafundabo bathenge ama  [lollipop] lawo ebantwini abathengisa ngaphandle kwesikolo
sama_nbl_06h02feb2022_0012.wav,13,N,lapha kukwekwezi f_m kukhanya bha usihlalo walokha webhodi wekampani yakwa [Denel] nongqongqotjhe walokha wezamabhizinisi wombuso u Lynn Brown
sama_nbl_06h02feb2022_0013.wav,8.1,N,abatjha Abathelelekileko abasitjhiyileko abasitjhiyileko ephasini basekhulwini namatjhumi athobako nahlanu  [hundred and ninety five]
sama_nbl_06h02feb2022_0015.wav,7.5,S,yesithandathu sinaba nazo ehlelweni ezibhula umbethe kuthoma ukubonakala magazuka
sama_nbl_06h02feb2022_0016.wav,5.1,N, [zero one two two] namkha sitlolela usithumele umbono nge  [email]
sama_nbl_06h02feb2022_0017.wav,6.3,N,kangangani obunjwa kwamakomidi emikhandlwini yabomasipala yindaba esizokukhuluma ngayo le
sama_nbl_06h02feb2022_0018.wav,7.3,N,ngaphakathi eenhlangano zepolitiki khulukhulu lezi ezithe zakha isikhozi sokusebenzisana
sama_nbl_06h02feb2022_0020.wav,5.6,N,lokhu ngokutjho kwengcenye yesibili yombiko yokuthunjwa kwelawulo lombuso
sama_nbl_06h02feb2022_0021.wav,9.8,N,abantwananabo bagijinyiselwe esibhedlela sendawo  umkhulumeli womnyango wezefundo uMuzi Mahlambi uthi akusilo iqiniso bona kunabanye babantwana ababhubhileko 
sama_nbl_06h02feb2022_0023.wav,5.1,S,nozokwenza kube ludlana mhlambe kubatjhayeli beenkoloyi siziphethe
sama_nbl_06h02feb2022_0024.wav,7.3,N,nokwenzeka isibalo sikhuphuke khulu solo yathoma ukusahlela ingogwana sesi Lapha ku [ninety five]
sama_nbl_06h02feb2022_0028.wav,5.8,N,ikoro yezeembalo enarheni le namhlanje iyokuthoma ngehlelo lokubalwa kwabantu
sama_nbl_06h02feb2022_0032.wav,11.2,N,umbiko uphakamise bona amaziko wezomthetho kufanele enze iphenyo kokungenzeka kokutjhutjhiswa kwamalunga wabanqophisi bebhodi yakwa  [Denel] bomnyaka ka [twenty fifteen]
sama_nbl_06h02feb2022_0033.wav,6.2,N,nawe mlaleli nesithekeli esisimemileko namhlanje nasele kusikhathi sikubiza
sama_nbl_06h02feb2022_0035.wav,6.6,NS,umahlambi uthi basebenzisana nomnyango wezepilo ukufumana bona kwenzeki
sama_nbl_06h02feb2022_0036.wav,5.8,N,ukubalwa kwabantu kwangomnyaka ka [twenty eleven] kwabalwa abantu abangaphezu kwe  [ten million]
sama_nbl_06h02feb2022_0037.wav,5.8,N,bayokubawa umkhulumeli weZiko wokubalwa kwabantu [Gauteng] ubeka nganasi indlela
sama_nbl_06h02feb2022_0038.wav,5.4,S,siyathokoza Malindi semihlanu imizuzu ibumbene isimbi
sama_nbl_06h02feb2022_0039.wav,9,NS,ende baba nethemba futhi kibo ngikhoke kuthomile ukubunjwa kwamakomidi sesingazi ke ukuthi wena ukuzwisisa
sama_nbl_06h02feb2022_0040.wav,5.9,N,uza dosa umtato ku  [zero one two four three one five four six two]
sama_nbl_06h02feb2022_0041.wav,5.1,N, [six seven five four] ihlelo livezwa nguKhuli Mahlangu ngunoKhetha
sama_nbl_06h04jan2024_0002.wav,7.8,N,ukwetjiwa kwepahla ukukhubaza kwabantu ngesihluku namacala ahlobene nokuthengisa kunye nokusebenzisa iindakamizwa
sama_nbl_06h04jan2024_0003.wav,6.8,N,solo utjhayela ngeencwadi zokutjhayela zesikhatjhana kanti ezinye godu ebesikuqalele zona ngezithi
sama_nbl_06h04jan2024_0005.wav,16.6,S,umlaleli wekwekwezi f_m uhlala aphambili kikho koke esikwenzako umrhatjhwakho usazokuragela phambili nokurhatjha amahlelo ngendlela edlula yoke imikhawulo ebekwe yi   [ICASA] godu ngithokoze nabo boke ababelani abahlukahlukeneko esebenzisana nabo ekuthuthukiseni isindebele
sama_nbl_06h04jan2024_0006.wav,7.4,B,ngizo ke iindaba ebesikuphathelene zona hlangana nezinengi ke lezo  silibeka la ihlelo lanamhlanje eziBhula umbethe
sama_nbl_06h04jan2024_0007.wav,7.7,N,eendaweni ezihlukahlukeneko esifundenesa bekwabhubha nabantu abamatjhumi amathathu nanye  ngenyanga kaNobayeni
sama_nbl_06h04jan2024_0010.wav,7.7,N,seyileni hlangana neendaba ebesikuqalele zona namhlanjesi sikuqalele lapha ezithi umnyango wezokubusa ngokuhlanganyela
sama_nbl_06h04jan2024_0011.wav,4.8,N,esifundeni sakwaZulu Natal uthi izulu eline khulu libange umonakalo omkhulu
sama_nbl_06h04jan2024_0012.wav,5.6,N,Kuyanda ukutshwenyeka ngabahlali ukutshwenyeka ngabahlali bedorobheni leMahikeng  [North West] njengoba zanda kangaka
sama_nbl_06h04jan2024_0014.wav,6.6,N,kunendoda  yange [Lydenburg]  esifundeni sangempumalanga ethe ineminyaka emibili yoke solo
sama_nbl_06h05jul2022_0002.wav,12.4,NS,[the millions and millions of young people in this country then his presence will be meaningless] iphiko lama   [hawks] empumalanga lithi kubotjhwe abanye abasolwa ababili ngamacala wokukhukhuthisa abantu
sama_nbl_06h05jul2022_0006.wav,5.7,N,babotjhwe ngelesihlanu umkhulumeli wama  [hawks] esifundeni sempumalanga uDineo Sikghothodipe
sama_nbl_06h05jul2022_0008.wav,5.7,N,i ofisini kamengameli iveze ukuthi umengameli uyokukhambisana nondunakulu wepumalanga kapa u Oscar Mabuyane
sama_nbl_06h05jul2022_0010.wav,6.3,N,kuthiwa bahlangene nomtjhayeli weteksi leyo bambhadela bane abantu esele babotjhiwe kileli cala
